1:0.0	2:32.0	3:0.0	4:0.0	5:0.0
1:0.0	2:20.0	3:0.0	4:0.0	5:0.0
1:52.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:72.0	4:0.0	5:0.0
1:72.0	2:0.0	3:0.0	4:0.0	5:0.0
1:22.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:32.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:43.0
1:0.0	2:38.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:37.0	4:0.0	5:0.0
1:32.0	2:0.0	3:0.0	4:0.0	5:0.0
1:52.0	2:0.0	3:0.0	4:0.0	5:0.0
1:52.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:39.0
1:0.0	2:52.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:32.0	5:0.0
1:0.0	2:72.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:27.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:44.0	5:0.0
1:41.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:52.0	4:0.0	5:0.0
1:0.0	2:0.0	3:40.0	4:0.0	5:0.0
1:0.0	2:52.0	3:0.0	4:0.0	5:0.0
1:0.0	2:52.0	3:0.0	4:0.0	5:0.0
1:0.0	2:52.0	3:0.0	4:0.0	5:0.0
1:0.0	2:37.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:72.0
1:0.0	2:0.0	3:32.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:52.0
1:0.0	2:0.0	3:0.0	4:0.0	5:21.0
1:0.0	2:55.0	3:0.0	4:0.0	5:0.0
1:0.0	2:52.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:32.0	5:0.0
1:0.0	2:28.0	3:0.0	4:0.0	5:0.0
1:32.0	2:0.0	3:0.0	4:0.0	5:0.0
1:52.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:72.0
1:32.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:32.0
1:52.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:26.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:51.0
1:52.0	2:0.0	3:0.0	4:0.0	5:0.0
1:52.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:26.0
1:72.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:32.0
1:0.0	2:0.0	3:0.0	4:0.0	5:72.0
1:0.0	2:0.0	3:0.0	4:0.0	5:37.0
1:0.0	2:0.0	3:0.0	4:0.0	5:52.0
1:0.0	2:0.0	3:0.0	4:0.0	5:52.0
1:0.0	2:0.0	3:0.0	4:0.0	5:50.0
1:0.0	2:0.0	3:0.0	4:0.0	5:21.0
1:0.0	2:0.0	3:0.0	4:0.0	5:60.0
1:0.0	2:0.0	3:0.0	4:0.0	5:72.0
1:0.0	2:62.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:71.0
1:0.0	2:0.0	3:0.0	4:0.0	5:28.0
1:0.0	2:72.0	3:0.0	4:0.0	5:0.0
1:0.0	2:32.0	3:0.0	4:0.0	5:0.0
1:0.0	2:39.0	3:0.0	4:0.0	5:0.0
1:0.0	2:40.0	3:0.0	4:0.0	5:0.0
1:52.0	2:0.0	3:0.0	4:0.0	5:0.0
1:51.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:58.0
1:0.0	2:0.0	3:0.0	4:0.0	5:38.0
1:0.0	2:52.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:72.0	5:0.0
1:0.0	2:27.0	3:0.0	4:0.0	5:0.0
1:0.0	2:48.0	3:0.0	4:0.0	5:0.0
1:32.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:32.0	3:0.0	4:0.0	5:0.0
1:0.0	2:52.0	3:0.0	4:0.0	5:0.0
1:0.0	2:52.0	3:0.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:71.0
1:0.0	2:0.0	3:25.0	4:0.0	5:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:32.0
1:0.0	2:32.0	3:0.0	4:0.0	5:0.0
1:0.0	2:52.0	3:0.0	4:0.0	5:0.0
